Student   ENG     MATH    CP      SPORT   SCI     AVG     
----------------------------------------------------------
1         A       B       A       A       A       A       
2         D       D       B       C       F       D       
3         B       C       A       D       A       A       
4         B       D       B       A       A       B       
5         B       C       B       A       D       B       
6         D       F       C       C       F       D       
7         B       A       C       D       A       B       
8         C       A       C       A       A       A       
9         A       A       C       D       A       B       
10        C       C       D       A       A       B       
11        A       A       F       F       A       C       
12        A       A       B       C       A       A       
13        B       A       C       A       B       A       
14        A       A       D       B       A       B       
15        F       A       A       A       B       B       
16        F       B       D       B       A       C       
17        A       C       F       C       B       C       
18        A       A       D       B       A       A       
19        B       A       A       B       B       B       
20        A       A       B       C       F       B       
21        A       F       B       C       D       C       
22        D       A       A       A       A       A       
23        D       F       F       A       C       C       
24        A       F       A       D       B       B       
25        C       A       C       F       A       C       
26        F       A       A       F       A       C       
27        D       F       F       F       A       D       
28        A       D       C       D       A       B       
29        D       A       C       A       A       B       
30        C       B       C       C       F       C       
31        A       B       D       F       A       B       
32        B       A       A       A       C       B       
33        A       D       A       A       C       B       
34        A       B       C       C       A       B       
35        B       B       D       A       F       C       
36        C       C       A       F       C       C       
37        B       F       F       B       A       C       
38        A       A       C       A       A       A       
39        D       B       D       B       F       D       
40        A       A       A       D       D       B       
41        A       A       C       C       D       B       
42        D       A       C       F       D       C       
43        B       D       D       C       D       C       
44        B       B       B       A       D       B       
45        A       B       B       F       D       C       
46        F       C       D       B       F       D       
47        F       A       A       F       A       B       
48        F       A       B       F       A       C       
49        D       D       F       F       F       F       
50        A       A       F       F       D       C       
51        B       D       A       B       F       C       
52        A       B       D       A       A       B       
53        D       C       C       A       B       B       
54        B       A       C       C       A       B       
55        D       A       F       B       D       C       
56        B       A       C       B       B       B       
57        D       A       A       B       A       B       
58        A       B       C       F       C       C       
59        A       A       C       B       D       B       
60        D       B       B       D       A       C       
61        A       C       A       C       D       B       
62        F       A       C       F       B       C       
63        C       A       F       F       A       C       
64        A       F       F       A       F       C       
65        B       D       B       D       D       C       
66        D       A       A       C       A       B       
67        A       B       B       F       B       B       
68        D       C       A       F       F       D       
69        C       C       A       C       C       B       
70        A       A       A       B       B       A       
71        D       C       A       F       A       C       
72        C       B       F       C       A       C       
73        A       A       D       D       F       C       
74        A       F       A       F       B       B       
75        C       A       A       A       F       B       
76        F       C       A       D       A       C       
77        D       A       A       F       C       C       
78        B       A       D       B       C       B       
79        A       A       B       F       C       B       
80        D       C       C       D       A       C       
81        D       A       B       D       A       B       
82        A       A       B       F       C       B       
83        F       D       D       B       A       C       
84        C       C       A       B       A       B       
85        B       F       F       F       A       D       
86        F       D       A       F       A       C       
87        C       A       C       B       B       B       
88        A       B       C       F       D       C       
89        F       B       A       D       F       C       
90        A       B       D       A       A       B       
91        D       D       D       B       F       D       
92        A       F       A       A       C       B       
93        C       C       F       A       C       C       
