Student 1: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.20
Student 2: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'D', 'SPORT': 'B', 'SCI': 'F'}, Average Score=60.00
Student 3: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=80.60
Student 4: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=75.60
Student 5: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=76.00
Student 6: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=73.20
Student 7: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=62.80
Student 8: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.00
Student 9: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=73.40
Student 10: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'D', 'SPORT': 'F', 'SCI': 'C'}, Average Score=62.40
Student 11: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=76.00
Student 12: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'F'}, Average Score=60.80
Student 13: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=64.40
Student 14: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'F'}, Average Score=58.20
Student 15: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=70.60
Student 16: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=60.40
Student 17: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=75.60
Student 18: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=72.80
Student 19: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'D', 'SPORT': 'C', 'SCI': 'F'}, Average Score=51.00
Student 20: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=72.00
Student 21: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'F', 'SPORT': 'F', 'SCI': 'F'}, Average Score=45.20
Student 22: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=72.40
Student 23: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'B'}, Average Score=77.80
Student 24: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'F'}, Average Score=65.60
Student 25: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=86.20
Student 26: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=76.20
Student 27: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=69.80
Student 28: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'B'}, Average Score=75.80
Student 29: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'F'}, Average Score=55.60
Student 30: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=64.60
Student 31: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'B'}, Average Score=59.40
Student 32: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=66.40
Student 33: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=62.20
Student 34: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=66.20
Student 35: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'F'}, Average Score=72.00
Student 36: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'B'}, Average Score=66.60
Student 37: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'D', 'SPORT': 'B', 'SCI': 'A'}, Average Score=72.60
Student 38: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'C'}, Average Score=71.20
Student 39: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=68.20
Student 40: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'D'}, Average Score=64.20
Student 41: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=67.60
Student 42: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'D', 'SCI': 'A'}, Average Score=71.80
Student 43: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=74.80
Student 44: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=73.20
Student 45: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=76.20
Student 46: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=71.40
Student 47: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=69.20
Student 48: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'F', 'SCI': 'D'}, Average Score=56.60
Student 49: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=79.00
Student 50: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'B', 'SPORT': 'D', 'SCI': 'A'}, Average Score=74.40
Student 51: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=68.80
Student 52: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=75.40
