Student 1: {'ENG': 95, 'MATH': 49, 'CP': 74, 'SPORT': 90, 'SCI': 53}
Student 2: {'ENG': 68, 'MATH': 54, 'CP': 59, 'SPORT': 75, 'SCI': 44}
Student 3: {'ENG': 89, 'MATH': 91, 'CP': 81, 'SPORT': 80, 'SCI': 62}
Student 4: {'ENG': 96, 'MATH': 43, 'CP': 82, 'SPORT': 61, 'SCI': 96}
Student 5: {'ENG': 82, 'MATH': 79, 'CP': 69, 'SPORT': 62, 'SCI': 88}
Student 6: {'ENG': 41, 'MATH': 82, 'CP': 93, 'SPORT': 65, 'SCI': 85}
Student 7: {'ENG': 41, 'MATH': 54, 'CP': 97, 'SPORT': 81, 'SCI': 41}
Student 8: {'ENG': 90, 'MATH': 53, 'CP': 65, 'SPORT': 92, 'SCI': 100}
Student 9: {'ENG': 47, 'MATH': 78, 'CP': 57, 'SPORT': 85, 'SCI': 100}
Student 10: {'ENG': 68, 'MATH': 77, 'CP': 56, 'SPORT': 42, 'SCI': 69}
Student 11: {'ENG': 55, 'MATH': 64, 'CP': 90, 'SPORT': 71, 'SCI': 100}
Student 12: {'ENG': 46, 'MATH': 100, 'CP': 77, 'SPORT': 41, 'SCI': 40}
Student 13: {'ENG': 76, 'MATH': 41, 'CP': 83, 'SPORT': 60, 'SCI': 62}
Student 14: {'ENG': 70, 'MATH': 41, 'CP': 49, 'SPORT': 83, 'SCI': 48}
Student 15: {'ENG': 61, 'MATH': 72, 'CP': 40, 'SPORT': 99, 'SCI': 81}
Student 16: {'ENG': 56, 'MATH': 46, 'CP': 47, 'SPORT': 65, 'SCI': 88}
Student 17: {'ENG': 45, 'MATH': 95, 'CP': 90, 'SPORT': 91, 'SCI': 57}
Student 18: {'ENG': 63, 'MATH': 94, 'CP': 66, 'SPORT': 60, 'SCI': 81}
Student 19: {'ENG': 45, 'MATH': 55, 'CP': 50, 'SPORT': 61, 'SCI': 44}
Student 20: {'ENG': 56, 'MATH': 84, 'CP': 69, 'SPORT': 55, 'SCI': 96}
Student 21: {'ENG': 55, 'MATH': 44, 'CP': 41, 'SPORT': 43, 'SCI': 43}
Student 22: {'ENG': 93, 'MATH': 82, 'CP': 94, 'SPORT': 41, 'SCI': 52}
Student 23: {'ENG': 95, 'MATH': 100, 'CP': 63, 'SPORT': 53, 'SCI': 78}
Student 24: {'ENG': 70, 'MATH': 57, 'CP': 88, 'SPORT': 68, 'SCI': 45}
Student 25: {'ENG': 98, 'MATH': 99, 'CP': 52, 'SPORT': 83, 'SCI': 99}
Student 26: {'ENG': 67, 'MATH': 100, 'CP': 62, 'SPORT': 57, 'SCI': 95}
Student 27: {'ENG': 53, 'MATH': 64, 'CP': 60, 'SPORT': 89, 'SCI': 83}
Student 28: {'ENG': 81, 'MATH': 97, 'CP': 56, 'SPORT': 70, 'SCI': 75}
Student 29: {'ENG': 61, 'MATH': 41, 'CP': 73, 'SPORT': 56, 'SCI': 47}
