Student 1: {'ENG': 85, 'MATH': 78, 'CP': 100, 'SPORT': 87, 'SCI': 100}
Student 2: {'ENG': 53, 'MATH': 51, 'CP': 78, 'SPORT': 69, 'SCI': 41}
Student 3: {'ENG': 76, 'MATH': 68, 'CP': 100, 'SPORT': 59, 'SCI': 97}
Student 4: {'ENG': 72, 'MATH': 58, 'CP': 74, 'SPORT': 99, 'SCI': 91}
Student 5: {'ENG': 77, 'MATH': 69, 'CP': 70, 'SPORT': 96, 'SCI': 54}
Student 6: {'ENG': 53, 'MATH': 41, 'CP': 64, 'SPORT': 62, 'SCI': 40}
Student 7: {'ENG': 79, 'MATH': 98, 'CP': 66, 'SPORT': 52, 'SCI': 90}
Student 8: {'ENG': 60, 'MATH': 93, 'CP': 61, 'SPORT': 97, 'SCI': 91}
Student 9: {'ENG': 90, 'MATH': 81, 'CP': 66, 'SPORT': 53, 'SCI': 88}
Student 10: {'ENG': 66, 'MATH': 68, 'CP': 55, 'SPORT': 95, 'SCI': 85}
Student 11: {'ENG': 81, 'MATH': 84, 'CP': 40, 'SPORT': 48, 'SCI': 80}
Student 12: {'ENG': 85, 'MATH': 100, 'CP': 70, 'SPORT': 61, 'SCI': 100}
Student 13: {'ENG': 74, 'MATH': 97, 'CP': 68, 'SPORT': 100, 'SCI': 74}
Student 14: {'ENG': 87, 'MATH': 81, 'CP': 50, 'SPORT': 71, 'SCI': 95}
Student 15: {'ENG': 47, 'MATH': 87, 'CP': 100, 'SPORT': 89, 'SCI': 72}
Student 16: {'ENG': 48, 'MATH': 78, 'CP': 59, 'SPORT': 70, 'SCI': 85}
Student 17: {'ENG': 84, 'MATH': 60, 'CP': 40, 'SPORT': 62, 'SCI': 76}
Student 18: {'ENG': 97, 'MATH': 92, 'CP': 59, 'SPORT': 71, 'SCI': 90}
Student 19: {'ENG': 77, 'MATH': 89, 'CP': 81, 'SPORT': 72, 'SCI': 77}
Student 20: {'ENG': 82, 'MATH': 85, 'CP': 74, 'SPORT': 69, 'SCI': 40}
Student 21: {'ENG': 89, 'MATH': 47, 'CP': 74, 'SPORT': 68, 'SCI': 58}
Student 22: {'ENG': 58, 'MATH': 88, 'CP': 81, 'SPORT': 97, 'SCI': 93}
Student 23: {'ENG': 59, 'MATH': 45, 'CP': 47, 'SPORT': 100, 'SCI': 69}
Student 24: {'ENG': 85, 'MATH': 47, 'CP': 92, 'SPORT': 56, 'SCI': 77}
Student 25: {'ENG': 60, 'MATH': 81, 'CP': 69, 'SPORT': 43, 'SCI': 91}
Student 26: {'ENG': 45, 'MATH': 86, 'CP': 95, 'SPORT': 41, 'SCI': 82}
Student 27: {'ENG': 59, 'MATH': 44, 'CP': 47, 'SPORT': 47, 'SCI': 93}
Student 28: {'ENG': 96, 'MATH': 55, 'CP': 61, 'SPORT': 53, 'SCI': 90}
Student 29: {'ENG': 59, 'MATH': 92, 'CP': 68, 'SPORT': 84, 'SCI': 86}
